,Question,subject_Chemistry,subject_Physics
40,Explain why glass is considered an insulator.,0.0,1.0
41,"Compare and contrast the electrical properties of conductors and insulators, providing examples of each.",0.0,1.0
42,What happens to a charge when it is placed on a conductor?,0.0,1.0
43,Explain why a nylon comb gets electrified when rubbed against dry hair.,0.0,1.0
44,Compare and contrast the behavior of charges on conductors and insulators. Provide an example of each.,0.0,1.0
45,"What are semiconductors, and how do they differ from conductors and insulators?",0.0,1.0
46,Name two common examples of semiconductor materials.,0.0,1.0
47,Explain the concept of doping in semiconductors and how it affects their electrical properties.,0.0,1.0
48,What are the two types of electric charge?,0.0,1.0
49,"Why does a metal rod with a wooden or plastic handle show signs of charging when rubbed, but not when its metal part is touched?",0.0,1.0
50,Explain why the effects of positive and negative charges tend to cancel each other out.,0.0,1.0
51,What is a point charge?,0.0,1.0
52,"If a system contains three point charges of +2Î¼C, -3Î¼C, and +5Î¼C, what is the total charge of the system?",0.0,1.0
53,"Explain why the concept of a point charge is useful in electrostatics, and give an example of a situation where it might be applied.",0.0,1.0
54,"What is the total charge of a system that contains three charges: +2 C, -3 C, and +4 C?",0.0,1.0
55,"If a system has four charges: +5 C, -2 C, +3 C, and -1 C, what is the total charge of the system?",0.0,1.0
56,"Explain the difference between the properties of mass and electric charge, and provide an example of a system where the total charge is zero but the total mass is not zero.",0.0,1.0
57,"What is the total charge of a system containing the charges +3, -2, +1, and -4 in arbitrary units?",0.0,1.0
58,"If a system initially has charges of +5, -3, and +2, and then a charge of -4 is added, what is the new total charge of the system?",0.0,1.0
59,"In a closed system, two objects initially have charges of +8 and -6. If 3 units of charge are transferred from the positively charged object to the negatively charged object, what are the new charges on each object?",0.0,1.0
60,"If you rub a balloon on your hair, the balloon becomes negatively charged. What happens to the charge on your hair?",0.0,1.0
61,"In an isolated system, a charge of +5 C is transferred from object A to object B. If object A initially had a charge of +10 C, what is the final charge of object B?",0.0,1.0
62,Explain why the following process is impossible in an isolated system: A charge of +2 C and a charge of -3 C combine to form a total charge of -6 C.,0.0,1.0
63,What is the primary function of an electroscope?,0.0,1.0
64,Explain why the leaves of a gold leaf electroscope move apart when a charged object is brought near it.,0.0,1.0
65,Describe how you could use an electroscope to determine if an object is positively or negatively charged.,0.0,1.0
66,What is the basic unit of electric charge?,0.0,1.0
67,Explain why the total charge is conserved when a neutron turns into a proton and an electron.,0.0,1.0
68,"If a body has a charge of -20e, how many electrons has it gained or lost compared to its neutral state?",0.0,1.0
69,What is the basic unit of electric charge?,0.0,1.0
70,Explain the concept of quantization of electric charge.,0.0,1.0
71,"If an object has a charge of -3e, what does this indicate about the number of electrons and protons in the object?",0.0,1.0
72,What is the unit of electric charge in the SI system?,0.0,1.0
73,Who experimentally demonstrated the quantization of charge and in what year?,0.0,1.0
74,Explain how the quantization of charge is related to the elementary charge and provide its approximate value.,0.0,1.0
75,What is the charge of one electron in coulombs?,0.0,1.0
76,How many electrons are there in a charge of -1 C?,0.0,1.0
77,"If a current of 2 amperes flows through a wire for 5 seconds, what is the total charge that has flowed through the wire in coulombs?",0.0,1.0
78,What is the smallest possible non-zero charge that an object can have?,0.0,1.0
79,"If an object has 12 protons and 10 electrons, what is the total charge of the object in terms of 'e'?",0.0,1.0
80,"Explain why the charge of an object can never be a fraction of 'e', such as 0.5e or 1.7e.",0.0,1.0
81,What is the phenomenon where electric charge exists in discrete packets called?,0.0,1.0
82,Why does electric charge appear to be continuous at the macroscopic level?,0.0,1.0
83,Compare the concept of charge quantization with a geometrical analogy mentioned in the text. How does this analogy help explain the macroscopic observation of electric charge?,0.0,1.0
84,"What does the notation ""2024-25"" represent?",0.0,1.0
85,"If an object is moving at a constant speed and covers a distance of 1000 kilometers in the time period ""2024-25,"" what is the average speed of the object if the period is exactly one year?",0.0,1.0
86,"In the context of special relativity, how would the time period ""2024-25"" be perceived by an observer traveling at a speed close to the speed of light compared to a stationary observer?",0.0,1.0
87,What is the magnitude of the electronic charge?,0.0,1.0
88,"If a total charge of 1 mC is distributed continuously over a surface, approximately how many electronic charges does it contain?",0.0,1.0
89,Explain why the concept of continuous charge distribution is useful in electrostatics. Provide an example of a situation where it would be applicable.,0.0,1.0
90,"What does the term ""quantization of electric charge"" mean?",0.0,1.0
91,Why is the quantization of electric charge not noticeable at the macroscopic level?,0.0,1.0
92,In what scenarios would the quantization of electric charge become significant and why?,0.0,1.0
93,How much charge is transferred by 10^9 electrons?,0.0,1.0
94,"If 10^10 electrons move from one body to another every second, how long will it take to transfer 1 C of charge?",0.0,1.0
95,"If a current of 1 A (Ampere) is defined as 1 C/s, how many electrons flow past a point in a wire per second to create a current of 1 A?",0.0,1.0
96,How many electrons are there in one coulomb of charge?,0.0,1.0
97,"If a body loses 109 electrons every second, how many years would it take to lose one coulomb of charge?",0.0,1.0
98,"Calculate the total positive and negative charge in a cup of water, assuming the cup contains 250 mL of water and the number of electrons in water is similar to that in copper (2.5 Ã— 10^24 electrons per cubic centimeter).",0.0,1.0
99,How many moles of water are in a 250g cup of water?,0.0,1.0
100,Calculate the total number of hydrogen atoms in a 250g cup of water.,0.0,1.0
101,"What is the total positive charge, in Coulombs, of all the protons in a 250g cup of water? (Given: charge of one proton = 1.6 Ã— 10^-19 C)",0.0,1.0
102,"What is the force between two charges of 1 C each, separated by a distance of 1 m?",0.0,1.0
103,Two charges of 2 C and 3 C are separated by a distance of 0.5 m. What is the force between them?,0.0,1.0
104,"Three charges of 1 C, 2 C, and 3 C are placed at the vertices of an equilateral triangle with sides of length 1 m. What is the net force on the charge of 2 C?",0.0,1.0
105,"What is the force between two charges of 1 Coulomb each, separated by a distance of 1 meter in a vacuum?",0.0,1.0
106,"If the distance between two charges of 2 Coulombs each is doubled, by what factor does the force between them change?",0.0,1.0
107,"Two charges, \( q_1 \) and \( q_2 \), are separated by a distance \( r \). If \( q_1 \) is doubled and \( q_2 \) is halved, and the distance \( r \) is also doubled, what happens to the force between the charges?",0.0,1.0
108,What is the force between two charges of 3 C and 4 C placed 0.5 m apart? (Use k = 8.99 x 10^9 N m^2/C^2),0.0,1.0
109,Two charges of 2 C and -3 C are placed 1 m apart. What is the force between them and is it attractive or repulsive?,0.0,1.0
110,"Three charges of 1 C, 2 C, and -3 C are placed at the vertices of an equilateral triangle with sides of length 1 m. What is the net force on the charge of 1 C?",0.0,1.0
111,"If a metallic sphere with a charge of 8 Coulombs is brought into contact with an identical uncharged sphere, what will be the charge on each sphere after they are separated?",0.0,1.0
112,"A charged metallic sphere with an initial charge of 16 Coulombs is repeatedly brought into contact with identical uncharged spheres. After the third contact, what will be the charge on the original sphere?",0.0,1.0
113,Suppose a charged metallic sphere with an initial charge of Q is brought into contact with n identical uncharged spheres sequentially. Derive a general formula for the charge on the original sphere after the n-th contact.,0.0,1.0
114,What are the two variables that Coulomb varied in his experiments to establish his law?,0.0,1.0
115,State the mathematical formula for Coulomb's Law.,0.0,1.0
116,Explain why Coulomb's Law is considered an inverse-square law. What does this mean in the context of the relationship between force and distance?,0.0,1.0
117,"What is the force between two charges of 1 C each, separated by a distance of 1 m?",0.0,1.0
118,Two charges of 2 C and 3 C are separated by a distance of 0.5 m. What is the force between them?,0.0,1.0
119,"In a hypothetical universe where Coulomb's constant is k' = 5 Ã— 10^8 N m^2/C^2, what would be the force between two electrons separated by a distance of 10^-10 m? (The charge of an electron is approximately 1.6 Ã— 10^-19 C.)",0.0,1.0
120,"What is the force of repulsion between two charges of 1 Coulomb each, placed 1 meter apart in a vacuum?",0.0,1.0
121,Two charges of 3 Coulombs and 4 Coulombs are placed 2 meters apart. What is the force between them?,0.0,1.0
122,At what distance should two charges of 2 Coulombs each be placed so that the force of repulsion between them is 3.6 x 10^10 N?,0.0,1.0
123,What is the formula for Coulomb's Law?,0.0,1.0
124,Describe the principle behind the torsion balance used by Coulomb.,0.0,1.0
125,"If two charges of +2 Î¼C and -2 Î¼C are placed 1 meter apart, what is the electrostatic force between them? (Use \( k_e = 8.99 \times 10^9 \, \text{N m}^2/\text{C}^2 \))",0.0,1.0
126,What is the formula for Coulomb's Law?,0.0,1.0
127,"If the distance between two charges is doubled, by what factor does the force between them change according to Coulomb's Law?",0.0,1.0
128,Explain how Coulomb used a torsion balance to determine the inverse square law of electric attraction or repulsion.,0.0,1.0
129,"What does the notation ""2024-25"" typically represent?",0.0,1.0
130,"If a project is scheduled to run from ""2024-25,"" how many years does this span?",0.0,1.0
131,"Explain the significance of the notation ""2024-25"" in the context of an academic year.",0.0,1.0
132,"What is the force between two charges of 1 mC each, separated by a distance of 1 meter?",0.0,1.0
133,Calculate the electric force between an electron and a proton separated by a distance of 5.29 Ã— 10^-11 meters (Bohr radius). Given that the charge of an electron is -1.6 Ã— 10^-19 C and the charge of a proton is +1.6 Ã— 10^-19 C.,0.0,1.0
134,Derive the formula for the electric field due to a point charge using Coulomb's Law.,0.0,1.0
135,What is the relationship between the vectors r12 and r21?,0.0,1.0
136,"If the magnitude of r12 is 5 units, what is the magnitude of r21?",0.0,1.0
137,"If q1 and q2 are equal in magnitude but opposite in sign, and F12 is the force exerted by q2 on q1, what is the force exerted by q1 on q2 (F21)?",0.0,1.0
138,"What is the force between two charges of 1 C each, separated by a distance of 1 m?",0.0,1.0
139,Two charges of 3 Î¼C and -5 Î¼C are separated by a distance of 0.5 m. What is the force between them?,0.0,1.0
140,"Three charges are arranged in a line: q1 = 2 Î¼C at x = 0 m, q2 = -3 Î¼C at x = 0.1 m, and q3 = 4 Î¼C at x = 0.2 m. What is the net force on q2?",0.0,1.0
141,What is the direction of the force between two positive charges?,0.0,1.0
142,"If a charge q1 = +2 Î¼C is placed at the origin and a charge q2 = -1 Î¼C is placed at a distance of 1 meter along the x-axis, what is the direction of the force on q2 due to q1?",0.0,1.0
143,"Derive the expression for the electrostatic force between two charges q1 and q2 separated by a distance r, and explain how the direction of the force is determined by the signs of the charges.",0.0,1.0
144,"What does the notation ""2024-25"" typically represent?",0.0,1.0
145,"If a school year is denoted as ""2024-25,"" what is the duration of this school year?",0.0,1.0
146,"In a financial context, what might the notation ""2024-25"" signify, and why is this important for budget planning?",0.0,1.0
147,"What is the force between two charges of 1 C each, separated by a distance of 1 m?",0.0,1.0
148,Two charges of 3 ÂµC and 5 ÂµC are separated by a distance of 20 cm. Calculate the force between them.,0.0,1.0
149,"Three charges are arranged in a line: q1 = 2 ÂµC at x = 0, q2 = -3 ÂµC at x = 10 cm, and q3 = 4 ÂµC at x = 20 cm. Calculate the net force on q2.",0.0,1.0
150,What is the relationship between the electrostatic force and the distance between two charges according to Coulomb's Law?,0.0,1.0
151,"If the distance between two charges is doubled, by what factor does the electrostatic force between them change?",0.0,1.0
152,"Compare and contrast the mathematical formulations of Coulomb's Law for electrostatic force and Newton's Law for gravitational force. How are they similar, and how do they differ?",0.0,1.0
153,What is the formula for the electrostatic force between two point charges \( q_1 \) and \( q_2 \) separated by a distance \( r \)?,0.0,1.0
154,"Calculate the electrostatic force between an electron and a proton when they are \( 1 \times 10^{-10} \) meters apart. (Given: charge of an electron \( q_e = -1.6 \times 10^{-19} \) C, charge of a proton \( q_p = 1.6 \times 10^{-19} \) C, \( \epsilon_0 = 8.85 \times 10^{-12} \) F/m)",0.0,1.0
155,"Estimate the acceleration of an electron due to the electrostatic force of attraction between it and a proton when they are \( 1 \times 10^{-10} \) meters apart. (Given: mass of an electron \( m_e = 9.11 \times 10^{-31} \) kg, mass of a proton \( m_p = 1.67 \times 10^{-27} \) kg)",0.0,1.0
156,What is the formula for the electric force between two charges \( q_1 \) and \( q_2 \) separated by a distance \( r \)?,0.0,1.0
157,Calculate the ratio of the electric force to the gravitational force between a proton and an electron.,0.0,1.0
158,"Explain why the electric force is much stronger than the gravitational force at the atomic scale, and discuss the implications of this for the stability of atoms.",0.0,1.0
159,What is the nature of the gravitational force between two protons?,0.0,1.0
160,"Calculate the ratio of the electrical force to the gravitational force between two protons in a nucleus, given that Fe = 230 N and FG = 1.9 Ã— 10â€“34 N.",0.0,1.0
161,Explain why the electrical force between two protons is repulsive while the gravitational force is attractive.,0.0,1.0
162,"What does the notation ""2024-25"" typically represent?",0.0,1.0
163,"If a school year is denoted as ""2024-25,"" when does it usually start and end?",0.0,1.0
164,"Explain why the notation ""2024-25"" is useful in contexts such as academic or fiscal years.",0.0,1.0
165,What is the formula for the electric force between two charged particles?,0.0,1.0
166,"If the distance between the proton and the electron is doubled, what will be the new magnitude of the electric force?",0.0,1.0
167,Calculate the acceleration of a proton when it is subjected to the same electric force calculated in the text. The mass of a proton is approximately \( 1.67 \times 10^{-27} \) kg.,0.0,1.0
168,What is the acceleration of an electron under the influence of a proton if the Coulomb force between them is 8.2 Ã— 10^-8 N? (Mass of an electron = 9.11 Ã— 10^-31 kg),0.0,1.0
169,Compare the acceleration due to gravity with the acceleration of an electron caused by the Coulomb force from a proton (given the force is 2.3 Ã— 10^-8 N). Why is the effect of the gravitational field considered negligible?,0.0,1.0
170,"Two charged metallic spheres A and B are suspended by insulating threads. If the charge on sphere A is doubled, how will the acceleration of sphere B change, assuming the initial acceleration of sphere B is solely due to the Coulomb force exerted by sphere A?",0.0,1.0
171,"What does the text ""2024-25"" represent?",0.0,1.0
172,"If an event is scheduled for ""2024-25,"" what is the duration of this event in years?",0.0,1.0
173,"If a process starts at the beginning of 2024 and ends at the beginning of 2025, how many days does this process last, assuming no leap year?",0.0,1.0
174,What is the fundamental reason why spheres A and B repel each other?,0.0,1.0
175,"If the distance between spheres A and B is doubled, by what factor would the electrostatic force between them change?",0.0,1.0
176,"Explain why the repulsion of sphere A is noted to be different when sphere B is brought closer, even though both spheres were initially touched by uncharged spheres C and D.",0.0,1.0
177,"If the charge on sphere A is doubled, how will the force on sphere B change?",0.0,1.0
178,"If the distance between spheres A and B is halved, how will the force on each sphere change?",0.0,1.0
179,"If sphere A has a charge of 3 ÂµC and sphere B has a charge of -2 ÂµC, and they are 0.1 m apart, what is the magnitude of the electrostatic force between them?",0.0,1.0
180,What happens to the charge on sphere A when it touches an identical but uncharged sphere C?,0.0,1.0
181,"If the separation between spheres A and B is halved, how does the electrostatic force between them change?",0.0,1.0
182,"Explain why the electrostatic force between spheres A and B remains the same when the distance between them is halved, using the formula for electrostatic force.",0.0,1.0
183,What principle allows us to calculate the total electric force on a charge due to multiple other charges?,0.0,1.0
184,"If there are three charges, q1, q2, and q3, what is the net force on q1 due to q2 and q3?",0.0,1.0
185,"In a system of four charges, q1, q2, q3, and q4, how would you determine the net force on q1 if the positions and magnitudes of all charges are known?",0.0,1.0
186,What is the principle of superposition in the context of electric forces?,0.0,1.0
187,"If three charges \( q_1 \), \( q_2 \), and \( q_3 \) are placed at different points, how would you calculate the total force on \( q_1 \) due to \( q_2 \) and \( q_3 \)?",0.0,1.0
188,"Consider a system of four charges \( q_1 \), \( q_2 \), \( q_3 \), and \( q_4 \). If the force on \( q_1 \) due to \( q_2 \) is \( \vec{F}_{12} \), due to \( q_3 \) is \( \vec{F}_{13} \), and due to \( q_4 \) is \( \vec{F}_{14} \), what is the total force on \( q_1 \)?",0.0,1.0
189,What principle allows us to add the electric forces from multiple charges to find the total force on a single charge?,0.0,1.0
190,"If there are three charges, q1, q2, and q3, and you want to find the force on q1 due to the other two charges, what steps would you take?",0.0,1.0
191,"In a system of four charges, q1, q2, q3, and q4, explain why the force on q1 due to q2 (F12) is not affected by the presence of q3 and q4.",0.0,1.0
192,What is the formula for the force between two charges \( q_1 \) and \( q_2 \) separated by a distance \( r \)?,0.0,1.0
193,"If a charge \( q_1 \) experiences a force \( F_{12} \) due to charge \( q_2 \) and a force \( F_{13} \) due to charge \( q_3 \), what is the total force \( F_1 \) on \( q_1 \)?",0.0,1.0
194,"In a system of four charges \( q_1, q_2, q_3, \) and \( q_4 \), how would you calculate the total force on \( q_1 \) using the principle of superposition?",0.0,1.0
195,What is the principle of superposition in electrostatics?,0.0,1.0
196,"If there are three charges q1, q2, and q3, how would you calculate the total force on q1 due to the other two charges?",0.0,1.0
197,Explain why the principle of superposition is important in the study of electrostatics.,0.0,1.0
198,"What is the force between two charges of 1 Coulomb each, separated by a distance of 1 meter in a vacuum?",0.0,1.0
199,"Three charges of \( 2 \, \mu\text{C} \) each are placed at the vertices of an equilateral triangle with sides of 1 meter. What is the force on a charge of \( 3 \, \mu\text{C} \) placed at the centroid of the triangle?",0.0,1.0
200,Derive the expression for the electric field at a point due to a point charge using Coulomb's law and the definition of electric field.,0.0,1.0
201,What is the distance from the centroid to any vertex in an equilateral triangle with side length \( l \)?,0.0,1.0
202,"If the side length of an equilateral triangle is 6 units, what is the length of the altitude from any vertex to the midpoint of the opposite side?",0.0,1.0
203,Prove that the centroid of an equilateral triangle divides each median in the ratio 2:1.,0.0,1.0
204,What is the formula for the force between two charges according to Coulomb's Law?,0.0,1.0
205,"If the distance between two charges is doubled, by what factor does the force between them change?",0.0,1.0
206,Three identical charges of 2 ÂµC each are placed at the vertices of an equilateral triangle with sides of 1 m. What is the net force on one of the charges?,0.0,1.0
207,What is the resultant force on the charge q at vertex A due to the charges q at vertex B and -q at vertex C?,0.0,1.0
208,"If the system of charges is rotated through 60Â° about the center O, how does the resultant force on each charge change?",0.0,1.0
209,Calculate the magnitude of the resultant force on the charge q at vertex A if the side length of the equilateral triangle is d and the magnitude of each charge is q.,0.0,1.0
210,What is the formula for the force between two point charges \( q_1 \) and \( q_2 \) separated by a distance \( r \)?,0.0,1.0
211,Explain why the parallelogram law is used to find the total force on a charge when multiple forces are acting on it.,0.0,1.0
212,"If three charges \( q_1 \), \( q_2 \), and \( q_3 \) are placed at the vertices of an equilateral triangle, and the forces between \( q_1 \) and \( q_2 \), and \( q_1 \) and \( q_3 \) are \( F_{12} \) and \( F_{13} \) respectively, what is the resultant force on \( q_1 \) if \( F_{12} = F_{13} = F \) and the angle between them is 120 degrees?",0.0,1.0
213,What is Coulomb's law and how does it relate to the forces between electric charges?,0.0,1.0
214,"If three charges are arranged in a triangle and the forces on each charge sum to zero, what principle is being demonstrated?",0.0,1.0
215,"Prove that the sum of the forces on the three charges is zero, given that Coulomb's law is consistent with Newton's third law.",0.0,1.0
216,What is the formula for the electric field E created by a point charge Q at a distance r?,0.0,1.0
217,"If a charge of +2 Î¼C is placed at the origin, what is the electric field strength at a point 5 cm away along the x-axis? (Given that k = 8.99 x 10^9 N m^2/C^2)",0.0,1.0
218,Explain why the electric field is a vector field and what information is conveyed by its direction and magnitude.,0.0,1.0
219,What is the electric field at a distance of 2 meters from a charge of 3 Coulombs?,0.0,1.0
220,"Two charges, Q1 = 4 Î¼C and Q2 = -2 Î¼C, are placed 5 cm apart. What is the electric field at a point midway between them?",0.0,1.0
221,A charge of 5 nC is placed at the origin. At what distance would the electric field strength be 1000 N/C?,0.0,1.0
222,What is the formula for the electric force between two charges \( Q \) and \( q \) separated by a distance \( r \)?,0.0,1.0
223,"If the electric field at a point due to a charge \( Q \) is given by \( E = \frac{1}{4 \pi \epsilon_0} \frac{Q}{r^2} \), what is the force experienced by a charge \( q \) placed at that point?",0.0,1.0
224,"Two charges, \( Q_1 = 5 \times 10^{-6} \) C and \( Q_2 = -3 \times 10^{-6} \) C, are separated by a distance of 0.1 meters. Calculate the electric force between them. (Given \( \frac{1}{4 \pi \epsilon_0} = 9 \times 10^9 \, \text{N m}^2/\text{C}^2 \))",0.0,1.0
225,What is the SI unit of electric field?,0.0,1.0
226,A charge of 2 Coulombs experiences a force of 10 Newtons in an electric field. What is the strength of the electric field?,0.0,1.0
227,"Two charges, Q and q, are separated by a distance r. If the electric field at the location of q due to Q is E, and the force experienced by q is F, prove that the force experienced by Q due to q is -F.",0.0,1.0
228,What is the electric field due to a charge of 5 Coulombs at a distance of 1 meter if a unit positive charge is placed at that point?,0.0,1.0
229,Two charges of +3 C and -3 C are placed 2 meters apart. What is the electric field at the midpoint between them?,0.0,1.0
230,"Three charges of +2 C, -4 C, and +6 C are placed at the vertices of an equilateral triangle with sides of length 1 meter. What is the net electric field at the centroid of the triangle?",0.0,1.0
231,What is the difference between a source charge and a test charge?,0.0,1.0
232,Why should the test charge (q) be small? What issue might arise if it is not?,0.0,1.0
233,Explain how the concept of a test charge can be used to define the electric field strength quantitatively.,0.0,1.0
234,What is the formula for the electric field in terms of force and charge?,0.0,1.0
235,Explain why a test charge (q) is made negligibly small when measuring the electric field.,0.0,1.0
236,"Describe a practical scenario where charges are held in place by unspecified forces, allowing us to measure the electric field without disturbing the original charge distribution.",0.0,1.0
237,What is the formula for the electric field E created by a point charge Q at a distance r?,0.0,1.0
238,Explain why the electric field is independent of the test charge q used to measure it.,0.0,1.0
239,Calculate the electric field strength at a distance of 10 cm from a charge of 5 ÂµC.,0.0,1.0
240,What is the direction of the electric field around a positive charge?,0.0,1.0
241,"If a negative charge is placed in an electric field generated by a positive charge, in which direction will the negative charge move?",0.0,1.0
242,Explain why the electric field lines for a negative charge point inwards while for a positive charge they point outwards.,0.0,1.0
243,What does the spherical symmetry of the electric field due to a point charge imply?,0.0,1.0
244,"If the electric field due to a point charge Q is 100 N/C at a distance of 2 meters, what will be the electric field at a distance of 4 meters?",0.0,1.0
245,"Consider two point charges, Q1 and Q2, placed at the origin and at (3, 0, 0) respectively. What can be said about the electric field at the point (0, 3, 0)?",0.0,1.0
246,What principle allows us to calculate the total electric field at a point due to multiple charges?,0.0,1.0
247,"If you have two charges, q1 and q2, located at positions r1 and r2 respectively, what is the formula for the electric field at a point P due to these charges?",0.0,1.0
248,"Consider three charges q1, q2, and q3 located at the vertices of an equilateral triangle. What is the electric field at the centroid of the triangle?",0.0,1.0
249,What does the position vector 'r' represent?,0.0,1.0
250,"If a particle moves from point A to point B, how would you represent the change in its position vector?",0.0,1.0
251,"In a three-dimensional Cartesian coordinate system, what are the components of the position vector 'r' for a point located at (x, y, z)?",0.0,1.0
252,What is the formula for the electric field at a point P due to a charge q at a distance r?,0.0,1.0
253,"If two charges q1 and q2 are placed at distances r1 and r2 from a point P, respectively, what is the total electric field at P?",0.0,1.0
254,"Consider three charges q1, q2, and q3 placed at the vertices of an equilateral triangle with side length a. What is the electric field at the centroid of the triangle?",0.0,1.0
255,What is the superposition principle in the context of electric fields?,0.0,1.0
256,"If you have three charges q1, q2, and q3 located at different positions, how would you calculate the total electric field at a point P?",0.0,1.0
257,Explain why the electric field is a vector quantity and how this relates to the superposition principle.,0.0,1.0
258,What is the electric field?,0.0,1.0
259,Why is the concept of the electric field useful in electrostatics?,0.0,1.0
260,How does the electric field relate to Coulomb's law and the superposition principle?,0.0,1.0
261,What is the definition of an electric field?,0.0,1.0
262,"If a charge of 2 Coulombs creates an electric field of 500 N/C at a certain point, what force would a charge of 0.5 Coulombs experience at that point?",0.0,1.0
263,Explain why the electric field is considered independent of the test charge used to measure it.,0.0,1.0
264,What is the unit of measurement for an electric field?,0.0,1.0
265,Explain why the electric field is considered a vector field.,0.0,1.0
266,Describe the relationship between the electric field and the acceleration of a charged particle. How does this relationship change when considering time-dependent electromagnetic phenomena?,0.0,1.0
267,What is the principle that allows us to find the total electric field at a point by adding the electric fields due to individual charges?,0.0,1.0
268,"If you have three charges, q1, q2, and q3, how would you determine the total electric field at a point P?",0.0,1.0
269,Explain why the superposition principle is essential for solving complex problems involving multiple charges.,0.0,1.0
270,What is the speed at which electromagnetic waves propagate?,0.0,1.0
271,Explain why there is a time delay between the motion of charge q1 and the force experienced by charge q2.,0.0,1.0
272,Describe the role of the electromagnetic field in the interaction between two charges when one charge is accelerated.,0.0,1.0
273,What are the two main components of an electromagnetic wave?,0.0,1.0
274,Explain how electromagnetic waves can transport energy.,0.0,1.0
275,Describe the behavior of electromagnetic waves after their source is switched off.,0.0,1.0
276,What is the force experienced by an electron in an electric field of magnitude 2.0 Ã— 10^4 N/C?,0.0,1.0
277,Calculate the time it takes for an electron to fall through a distance of 1.5 cm in a uniform electric field of magnitude 2.0 Ã— 10^4 N/C.,0.0,1.0
278,Compare the time of fall for an electron and a proton through the same distance in an electric field of the same magnitude but opposite direction. Explain the difference in terms of their charge and mass.,0.0,1.0
279,What is the formula for the acceleration of an electron in an electric field?,0.0,1.0
280,"Given that the electric field strength \( E \) is \( 2.0 \times 10^4 \, \text{N/C} \), the charge of the electron \( e \) is \( 1.6 \times 10^{-19} \, \text{C} \), and the mass of the electron \( m_e \) is \( 9.11 \times 10^{-31} \, \text{kg} \), calculate the acceleration of the electron.",0.0,1.0
281,"Using the values provided in the text, derive the time \( t_e \) it takes for the electron to fall through a distance \( h = 1.5 \times 10^{-2} \, \text{m} \) starting from rest.",0.0,1.0
282,What is the force experienced by a proton in an electric field of strength E?,0.0,1.0
283,Calculate the acceleration of a proton in an electric field of strength 500 N/C.,0.0,1.0
